Rank,irradiance
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,1
9,13
10,23
11,23
12,29
13,30
14,16
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,4
33,27
34,87
35,157
36,161
37,57
38,11
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,1
57,10
58,26
59,18
60,16
61,14
62,5
63,3
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,7
81,66
82,133
83,154
84,171
85,34
86,40
87,5
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,7
105,72
106,146
107,168
108,174
109,136
110,68
111,6
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,10
129,79
130,133
131,82
132,68
133,80
134,39
135,4
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,0
148,0
149,0
150,0
151,0
152,1
153,16
154,46
155,94
156,67
157,31
158,20
159,6
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,3
177,21
178,64
179,94
180,172
181,100
182,43
183,4
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,0
195,0
196,0
197,0
198,0
199,0
200,4
201,24
202,89
203,107
204,94
205,67
206,17
207,3
208,0
209,0
210,0
211,0
212,0
213,0
214,0
215,0
216,0
217,0
218,0
219,0
220,0
221,0
222,0
223,0
224,1
225,6
226,8
227,25
228,88
229,67
230,27
231,6
232,0
233,0
234,0
235,0
236,0
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,7
250,48
251,117
252,76
253,54
254,50
255,2
256,0
257,0
258,0
259,0
260,0
261,2
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,2
273,33
274,43
275,77
276,189
277,31
278,23
279,7
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,11
297,86
298,144
299,191
300,108
301,64
302,86
303,5
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,3
321,60
322,38
323,77
324,36
325,17
326,50
327,6
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,23
345,98
346,160
347,198
348,193
349,152
350,80
351,9
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,76
369,219
370,296
371,316
372,248
373,172
374,84
375,12
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,9
393,43
394,64
395,81
396,92
397,100
398,40
399,8
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,13
417,42
418,46
419,60
420,53
421,35
422,19
423,4
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,9
441,41
442,56
443,24
444,64
445,35
446,25
447,4
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,8
465,17
466,30
467,28
468,33
469,61
470,43
471,8
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,1
488,17
489,40
490,70
491,77
492,73
493,71
494,34
495,7
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,10
513,21
514,24
515,52
516,46
517,29
518,10
519,5
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
