Rank,temp
0,7.900000095
1,7.699999809
2,7.800000191
3,7.300000191
4,7.099999905
5,7.199999809
6,7
7,7
8,6.300000191
9,6.099999905
10,6.199999809
11,6.400000095
12,6.400000095
13,6.400000095
14,6.199999809
15,5.900000095
16,5.099999905
17,4.800000191
18,4.599999905
19,4.900000095
20,4.900000095
21,4.199999809
22,3.5
23,2.700000048
24,2.099999905
25,1.600000024
26,1.200000048
27,0.300000012
28,0.600000024
29,0.400000006
30,0.800000012
31,1.299999952
32,1.399999976
33,1.200000048
34,4.599999905
35,4.599999905
36,5.400000095
37,5.300000191
38,3.700000048
39,3.299999952
40,3
41,2.5
42,3.099999905
43,3.900000095
44,4.099999905
45,3.799999952
46,4
47,3.5
48,3.599999905
49,4.199999809
50,4.699999809
51,4.699999809
52,5.300000191
53,5.099999905
54,5.900000095
55,6
56,6.099999905
57,6.300000191
58,6.5
59,6.699999809
60,6.800000191
61,6.900000095
62,7.199999809
63,7.400000095
64,7.699999809
65,7.599999905
66,7.699999809
67,7.400000095
68,5.5
69,5
70,5.199999809
71,5.400000095
72,5.800000191
73,6.099999905
74,5
75,5.599999905
76,6
77,5.599999905
78,5.599999905
79,4.800000191
80,5.5
81,5.400000095
82,5.5
83,5.099999905
84,5.099999905
85,3.700000048
86,3
87,1.600000024
88,1.200000048
89,0.600000024
90,0.300000012
91,0.400000006
92,0.300000012
93,0
94,-0.699999988
95,-0.899999976
96,-1.299999952
97,-1.799999952
98,-1.799999952
99,-2.099999905
100,-2.200000048
101,-3.099999905
102,-3.700000048
103,-4.099999905
104,-4.5
105,-3.5
106,-2.700000048
107,-2.099999905
108,-2.200000048
109,-1
110,-2.299999952
111,-3.599999905
112,-4.5
113,-5.300000191
114,-6
115,-6.5
116,-7.099999905
117,-7.599999905
118,-7.5
119,-7.699999809
120,-8
121,-8.100000381
122,-7.199999809
123,-7.199999809
124,-6.400000095
125,-5.400000095
126,-4
127,-3.900000095
128,-4
129,-3.400000095
130,-3
131,-3.200000048
132,-3.099999905
133,-2.799999952
134,-1.5
135,-1.899999976
136,-2.400000095
137,-1.200000048
138,-0.800000012
139,-0.600000024
140,-0.300000012
141,0
142,-0.200000003
143,-0.100000001
144,0.5
145,1.100000024
146,1.600000024
147,2.5
148,3
149,3.700000048
150,4.300000191
151,4.900000095
152,5.599999905
153,5.900000095
154,6.5
155,6.699999809
156,6.599999905
157,6.099999905
158,6.199999809
159,5.599999905
160,5
161,4.699999809
162,3.799999952
163,3.099999905
164,2.5
165,2
166,1.799999952
167,2.299999952
168,2.400000095
169,2.400000095
170,2.5
171,2.700000048
172,2.599999905
173,2.799999952
174,2.599999905
175,2.700000048
176,2.700000048
177,2.299999952
178,2.599999905
179,2.400000095
180,3.599999905
181,5.199999809
182,3.5
183,2.599999905
184,2.400000095
185,2.400000095
186,2.299999952
187,2.700000048
188,3.599999905
189,4.599999905
190,5.199999809
191,5.599999905
192,5.599999905
193,5.699999809
194,5.599999905
195,5.800000191
196,5.900000095
197,5.699999809
198,5.599999905
199,5.800000191
200,5.699999809
201,5.800000191
202,5.699999809
203,5.699999809
204,5.199999809
205,4.900000095
206,4.300000191
207,3.5
208,2.900000095
209,2.299999952
210,1.799999952
211,1.899999976
212,2.099999905
213,2
214,2.099999905
215,2.200000048
216,2.299999952
217,2.299999952
218,2.5
219,2.700000048
220,2.799999952
221,2.799999952
222,2.799999952
223,2.900000095
224,2.900000095
225,2.799999952
226,2.700000048
227,2.799999952
228,3.299999952
229,5.5
230,4.599999905
231,3.5
232,3.400000095
233,3.799999952
234,4
235,4
236,4.199999809
237,4.900000095
238,5.199999809
239,5.300000191
240,5.199999809
241,5.199999809
242,5.099999905
243,4.800000191
244,4.699999809
245,5
246,5.199999809
247,5.199999809
248,5.599999905
249,6.199999809
